Exact Output,Approx Output,Absolute Error,MSE
-1.4719713,-1.9520717,0.4801004,0.843405485153198
-6.2386975,-5.72434,0.51435757,0.843405485153198
-5.875689,-6.3640857,0.48839664,0.843405485153198
-8.030659,-6.6193385,1.4113202,0.843405485153198
6.910651,5.5352592,1.375392,0.843405485153198
5.88396,5.0963964,0.7875633,0.843405485153198
-2.6752322,-3.0766845,0.4014523,0.843405485153198
-7.6720433,-7.094073,0.5779705,0.843405485153198
-5.5307183,-5.603161,0.07244253,0.843405485153198
11.620188,9.793203,1.8269844,0.843405485153198
-0.08731677,-0.3053291,0.21801235,0.843405485153198
-6.9669724,-5.984977,0.9819956,0.843405485153198
-10.757502,-10.522358,0.23514366,0.843405485153198
-10.589915,-9.817663,0.7722521,0.843405485153198
-1.209212,-0.34950924,0.8597027,0.843405485153198
3.6646075,2.4640775,1.20053,0.843405485153198
-16.014212,-14.561728,1.4524841,0.843405485153198
-4.5049586,-4.2134047,0.29155397,0.843405485153198
-15.655784,-14.382479,1.2733049,0.843405485153198
3.0803528,2.54263,0.5377228,0.843405485153198
-11.241742,-11.099698,0.14204407,0.843405485153198
-1.3073866,-2.3670933,1.0597067,0.843405485153198
-9.892694,-9.484701,0.40799332,0.843405485153198
0.9177183,0.28696373,0.6307546,0.843405485153198
3.8082795,2.457097,1.3511825,0.843405485153198
0.2351507,0.04410779,0.1910429,0.843405485153198
-10.85056,-9.71256,1.1380005,0.843405485153198
-2.2255447,-2.5686243,0.34307957,0.843405485153198
-4.6690674,-4.4564824,0.21258497,0.843405485153198
-0.5461618,-0.9808273,0.4346655,0.843405485153198
-10.06763,-8.652448,1.4151821,0.843405485153198
-1.1192433,-0.3065665,0.8126768,0.843405485153198
-17.040012,-15.422369,1.6176434,0.843405485153198
-9.931338,-10.013002,0.081664085,0.843405485153198
-10.455256,-9.50677,0.9484863,0.843405485153198
-8.447331,-8.616556,0.16922474,0.843405485153198
-7.240289,-7.1333547,0.10693455,0.843405485153198
-5.498803,-4.6158085,0.88299465,0.843405485153198
-4.3685365,-4.46833,0.099793434,0.843405485153198
-13.01653,-12.721963,0.2945671,0.843405485153198
-1.9164889,-2.3080175,0.3915286,0.843405485153198
-9.72285,-8.84397,0.87887955,0.843405485153198
-6.5705867,-6.3867517,0.18383503,0.843405485153198
4.4317594,2.845748,1.5860114,0.843405485153198
6.609393,5.9222155,0.68717766,0.843405485153198
0.16043146,-0.24909018,0.40952164,0.843405485153198
4.362823,3.052039,1.3107841,0.843405485153198
5.8497577,5.045748,0.80400944,0.843405485153198
-12.783801,-12.38108,0.4027214,0.843405485153198
-2.3325098,-3.356108,1.0235982,0.843405485153198
8.910089,7.578643,1.3314457,0.843405485153198
-11.367073,-11.047242,0.3198309,0.843405485153198
1.562096,1.2401851,0.32191086,0.843405485153198
-2.4005082,-2.3496072,0.050900936,0.843405485153198
7.576969,5.691349,1.8856201,0.843405485153198
-7.729659,-7.699935,0.029724121,0.843405485153198
0.34978524,-0.49276108,0.84254634,0.843405485153198
0.43185785,-0.17941259,0.6112704,0.843405485153198
-4.19093,-3.903584,0.2873459,0.843405485153198
-0.026559608,-0.2700355,0.2434759,0.843405485153198
-3.9808395,-3.8470383,0.13380122,0.843405485153198
-6.8590064,-6.0600967,0.79890966,0.843405485153198
-9.533436,-8.915196,0.6182394,0.843405485153198
3.1986876,1.7564182,1.4422693,0.843405485153198
1.6320149,1.2666191,0.36539578,0.843405485153198
-1.2713088,-2.6611264,1.3898176,0.843405485153198
-0.09471238,-1.1118522,1.0171398,0.843405485153198
-10.0192,-10.015144,0.004055977,0.843405485153198
-0.51930803,-1.2238733,0.7045652,0.843405485153198
-11.677706,-10.064714,1.6129913,0.843405485153198
2.6134434,1.1800553,1.4333881,0.843405485153198
-10.133446,-8.591142,1.542304,0.843405485153198
1.0514305,0.7506285,0.300802,0.843405485153198
-9.640496,-9.191528,0.44896793,0.843405485153198
-12.889413,-11.714012,1.1754007,0.843405485153198
9.039723,7.403535,1.6361885,0.843405485153198
-4.3147774,-4.6536803,0.33890295,0.843405485153198
-7.8146796,-6.5750303,1.2396493,0.843405485153198
-7.787725,-6.961289,0.82643604,0.843405485153198
1.225692,-0.31758246,1.5432745,0.843405485153198
-1.5230205,-2.0899541,0.56693363,0.843405485153198
-8.350685,-8.037543,0.31314182,0.843405485153198
5.1781745,3.8262897,1.3518848,0.843405485153198
-10.42291,-9.795942,0.62696743,0.843405485153198
-12.684489,-11.625148,1.0593414,0.843405485153198
9.89999,7.656415,2.243575,0.843405485153198
-5.26921,-5.6560235,0.38681364,0.843405485153198
-4.8257546,-4.7934003,0.032354355,0.843405485153198
-8.943956,-8.338307,0.605649,0.843405485153198
-3.4089253,-3.5700514,0.16112614,0.843405485153198
5.0646486,4.0598807,1.0047679,0.843405485153198
2.9086561,2.2422328,0.6664233,0.843405485153198
-1.0077871,-1.6613798,0.6535927,0.843405485153198
-9.015425,-7.7435756,1.2718492,0.843405485153198
-5.4314694,-4.7055793,0.72589016,0.843405485153198
-11.090084,-10.080231,1.0098534,0.843405485153198
-16.544998,-14.880502,1.6644964,0.843405485153198
1.3498192,0.744753,0.6050662,0.843405485153198
-6.0945034,-5.6953697,0.39913368,0.843405485153198
-7.2601852,-5.9406924,1.3194928,0.843405485153198
1.2902192,1.2621669,0.02805233,0.843405485153198
-10.996424,-10.672216,0.3242073,0.843405485153198
-8.013963,-7.053429,0.9605336,0.843405485153198
-8.377376,-7.780959,0.5964165,0.843405485153198
-4.571489,-3.5050702,1.0664186,0.843405485153198
-4.1757426,-5.2143855,1.0386429,0.843405485153198
-2.3954287,-2.5821009,0.18667221,0.843405485153198
-10.056066,-9.746537,0.30952835,0.843405485153198
2.5511377,1.1490686,1.4020691,0.843405485153198
5.6229343,4.0899262,1.5330081,0.843405485153198
-4.558771,-4.4032083,0.15556288,0.843405485153198
-3.0434585,-2.0149736,1.0284848,0.843405485153198
2.4828188,0.6003836,1.8824353,0.843405485153198
1.1867436,-0.4990481,1.6857917,0.843405485153198
-7.877233,-7.3233266,0.55390644,0.843405485153198
-3.0070064,-4.1194177,1.1124113,0.843405485153198
-9.561854,-9.997148,0.4352932,0.843405485153198
-0.30854103,-1.643238,1.3346969,0.843405485153198
-3.585443,-3.5620947,0.023348331,0.843405485153198
-4.2922897,-4.192403,0.099886894,0.843405485153198
-7.140558,-7.3894324,0.24887466,0.843405485153198
-11.558501,-11.518335,0.0401659,0.843405485153198
-1.9058038,-1.7917492,0.11405456,0.843405485153198
-3.2301135,-4.033634,0.8035207,0.843405485153198
0.50545514,-0.778771,1.2842262,0.843405485153198
-7.2364745,-7.040894,0.19558048,0.843405485153198
-2.1057675,-1.7221254,0.38364208,0.843405485153198
-7.4097495,-6.8403134,0.5694361,0.843405485153198
